wgt_fx,wgt_fx_theta,ml_theta1,ml_theta2,alg,0,1,2,3,4
1,"0.06,0.14",0.013928541738242664,0.7,2,0.6897631916437985,1.3831527291904575,0.7099841706121776,1.0283939202140917,1.1899467777365844
1,"0.06,0.14",0.013928541738242664,0.8,2,0.6888060248491212,1.3832023981241517,0.7099877051674032,1.02909826787752,1.1898754718546498
1,"0.06,0.14",0.013928541738242664,0.8999999999999999,2,0.6878462088669992,1.3832532100747388,0.7099927652333847,1.0298157007812416,1.1898063588244066
1,"0.06,0.14",0.013928541738242664,1.0,2,0.6869001100094604,1.3833047568200192,0.7099993323864168,1.0305381694793245,1.1897395972132454
1,"0.06,0.14",0.015301076147350462,0.4,2,0.6923527653810769,1.3830243115074885,0.7099817978997284,1.0265686153451523,1.1901524361530318
1,"0.06,0.14",0.015301076147350462,0.5,2,0.6912513517579503,1.3830781500475542,0.7099815712642253,1.0273330786719888,1.190060158139759
1,"0.06,0.14",0.015301076147350462,0.6,2,0.6901584706926566,1.383132482511794,0.7099831400679035,1.02810753632906,1.1899768254584928
1,"0.06,0.14",0.015301076147350462,0.7,2,0.6890896466260352,1.383187677456293,0.7099865046821036,1.0288846269168357,1.1898962421055455
1,"0.06,0.14",0.015301076147350462,0.8,2,0.6880447548263056,1.383242626270861,0.7099915904495069,1.029665046388964,1.1898204353681603
1,"0.06,0.14",0.015301076147350462,0.8999999999999999,2,0.68699793505582,1.383299326720532,0.709998571321911,1.0304603927408624,1.1897465155656453
1,"0.06,0.14",0.015301076147350462,1.0,2,0.6859763586438995,1.3833563307126557,0.7100073083554936,1.0312577546108432,1.189676248281411
1,"0.06,0.14",0.016808861664548962,0.4,2,0.6919053843569716,1.3830470266113912,0.7099814917801732,1.026874249230875,1.1901202362380505
1,"0.06,0.14",0.016808861664548962,0.5,2,0.6907016037373103,1.3831054066703787,0.7099821304387406,1.0277182077095115,1.1900194196256124
1,"0.06,0.14",0.016808861664548962,0.6,2,0.689516680666913,1.383165526573054,0.7099849407821225,1.0285697657416082,1.189928143022367
1,"0.06,0.14",0.016808861664548962,0.7,2,0.6883574773511986,1.3832261254838927,0.7099898780048383,1.0294268384204412,1.1898426822512653
1,"0.06,0.14",0.016808861664548962,0.8,2,0.6872126367591123,1.383287521194395,0.7099969746094936,1.0302942554592884,1.1897615932844867
1,"0.06,0.14",0.016808861664548962,0.8999999999999999,2,0.6860783682454608,1.3833505309120573,0.7100063367867406,1.0311736049303406,1.1896832709721552
1,"0.06,0.14",0.016808861664548962,1.0,2,0.6849773008712293,1.3834135952228788,0.7100177606875123,1.0320540895467456,1.189609785486345
1,"0.06,0.14",0.01846522608848452,0.4,2,0.6914173921990147,1.3830722887991664,0.7099816433222862,1.0272109998947243,1.1900843886451202
1,"0.06,0.14",0.01846522608848452,0.5,2,0.6901043678909913,1.3831352627220665,0.709983266113185,1.0281421013445649,1.1899775383794495
1,"0.06,0.14",0.01846522608848452,0.6,2,0.6888186705166183,1.3832018181644947,0.7099876418724215,1.029080572126648,1.18987651274661
1,"0.06,0.14",0.01846522608848452,0.7,2,0.6875531774083309,1.383269018129904,0.7099946152753495,1.030030467913517,1.1897855160002795
1,"0.06,0.14",0.01846522608848452,0.8,2,0.6863073852257209,1.3833375843323386,0.7100042430544691,1.0309915388127247,1.1896990338218592
1,"0.06,0.14",0.01846522608848452,0.8999999999999999,2,0.6850844821300535,1.3834073632053474,0.7100165316495456,1.0319623935074398,1.1896168895767623
1,"0.06,0.14",0.01846522608848452,1.0,2,0.6838987669213995,1.3834772369372068,0.710031282968766,1.0329359451894042,1.1895405489585218
1,"0.06,0.14",0.020284810554302236,0.4,2,0.6908855125607781,1.3831003028340998,0.7099831604496808,1.0275822248425743,1.1900450362523203
1,"0.06,0.14",0.020284810554302236,0.5,2,0.689454434046658,1.3831693460534193,0.7099851426511501,1.0286096592408904,1.1899317419137012
1,"0.06,0.14",0.020284810554302236,0.6,2,0.6880536823883018,1.3832422435114187,0.7099915174134865,1.0296477977903815,1.1898212452670431
1,"0.06,0.14",0.020284810554302236,0.7,2,0.6866780525323344,1.383316958499058,0.7100010798911682,1.030698749000055,1.1897245001099375
1,"0.06,0.14",0.020284810554302236,0.8,2,0.685331079400001,1.383393126217376,0.7100138176253923,1.0317611711919965,1.1896332201408868
1,"0.06,0.14",0.020284810554302236,0.8999999999999999,2,0.6840138162182722,1.3834703996359838,0.7100297160853339,1.0328345079606098,1.1895478016287189
1,"0.06,0.14",0.020284810554302236,1.0,2,0.6827368484152575,1.383548036119182,0.7100485995652043,1.0339132065184822,1.1894690461347475
1,"0.06,0.14",0.022283698951324447,0.4,2,0.6903062015514502,1.3831302733912747,0.7099851146965726,1.027991666360082,1.1900034118474874
1,"0.06,0.14",0.022283698951324447,0.5,2,0.6887478873583224,1.3832074254886917,0.7099879512912552,1.0291257215154295,1.1898817981170315
1,"0.06,0.14",0.022283698951324447,0.6,2,0.6872261223920149,1.383287006235041,0.709996860328117,1.0302730740706625,1.189764959615409
1,"0.06,0.14",0.022283698951324447,0.7,2,0.6857389902102976,1.3833699718808192,0.7100096155388498,1.0314335220012543,1.1896601741189987
1,"0.06,0.14",0.022283698951324447,0.8,2,0.6842844346446078,1.3834544376203386,0.7100261776619131,1.0326091239184232,1.1895648287027867
1,"0.06,0.14",0.022283698951324447,0.8999999999999999,2,0.6828635412320858,1.3835403098962782,0.7100465677795734,1.0337990705083604,1.1894765787105073
1,"0.06,0.14",0.022283698951324447,1.0,2,0.6814880631458528,1.3836268813211632,0.7100705934580264,1.0349970340265782,1.1893959959113967
1,"0.06,0.14",0.02447956009369491,0.4,2,0.6896763364282116,1.3831633910625483,0.7099876380703348,1.0284433921468727,1.1899583781989862
1,"0.06,0.14",0.02447956009369491,0.5,2,0.6879804263589074,1.3832498737221202,0.7099929342005654,1.0296956823309071,1.1898280373529384
1,"0.06,0.14",0.02447956009369491,0.6,2,0.6863294916102783,1.3833364033393414,0.7100040433668988,1.0309642463922022,1.1897060818964216
1,"0.06,0.14",0.02447956009369491,0.7,2,0.6847245562635842,1.3834285193395026,0.7100207082497779,1.0322469600342672,1.1895930738260512
1,"0.06,0.14",0.02447956009369491,0.8,2,0.6831590418491313,1.3835222547581578,0.7100419787083752,1.0335472592480028,1.1894943575557
1,"0.06,0.14",0.02447956009369491,0.8999999999999999,2,0.681629571850464,1.383617947388675,0.7100679286331576,1.0348673128216357,1.1894039065836157
1,"0.06,0.14",0.02447956009369491,1.0,2,0.6801495648465287,1.3837147865486688,0.7100983399134494,1.0362000517444216,1.1893223828698265
1,"0.06,0.14",0.02689180390068066,0.4,2,0.6889883486160768,1.3832004358823122,0.7099909517026175,1.0289418024871597,1.1899083747577657
1,"0.06,0.14",0.02689180390068066,0.5,2,0.6871480500734414,1.383295836644219,0.7099994012915012,1.0303255300451024,1.1897715757247458
1,"0.06,0.14",0.02689180390068066,0.6,2,0.6853594820411321,1.383392672554646,0.7100135022631257,1.0317286872259257,1.1896431289018181
1,"0.06,0.14",0.02689180390068066,0.7,2,0.6836236811290061,1.3834938420051315,0.7100350627902723,1.0331510384401237,1.1895234337260892
1,"0.06,0.14",0.02689180390068066,0.8,2,0.6819416978059439,1.3835979206593783,0.7100621557786487,1.0345912038446055,1.1894220327477403
1,"0.06,0.14",0.02689180390068066,0.8999999999999999,2,0.6803067165937029,1.383704409150047,0.7100948616728128,1.0360528443004484,1.1893306186461339
1,"0.06,0.14",0.02689180390068066,1.0,2,0.6787194083239408,1.3838129114589177,0.710133147200796,1.037536566684643,1.1892495237496081
1,"0.06,0.14",0.029541752967159215,0.4,2,0.688242419962806,1.3832402369905037,0.7099952031815363,1.0294914451257606,1.1898556491909447
1,"0.06,0.14",0.029541752967159215,0.5,2,0.6862468600216302,1.3833468809221183,0.7100076159945263,1.031021921534951,1.1897113834509525
1,"0.06,0.14",0.029541752967159215,0.6,2,0.6843118524825732,1.3834552713072166,0.7100259274535119,1.0325748184550736,1.1895766787359807
1,"0.06,0.14",0.029541752967159215,0.7,2,0.6824408276888734,1.3835665753917519,0.7100534105286197,1.0341514873665614,1.1894522952840207
1,"0.06,0.14",0.029541752967159215,0.8,2,0.6806301069862473,1.3836827153883966,0.7100878006758302,1.0357522424460857,1.1893484170390962
1,"0.06,0.14",0.029541752967159215,0.8999999999999999,2,0.6788900390142731,1.3838010261598122,0.7101286997772787,1.0373713504713653,1.1892578248824588
1,"0.06,0.14",0.029541752967159215,1.0,2,0.6771968825862106,1.3839225851702335,0.7101766058248892,1.0390228254657705,1.1891791488042618
1,"0.06,0.14",0.03245283104085743,0.4,2,0.6874362624673597,1.383284451753614,0.7100007866570324,1.0300998994972486,1.1897996842901175
1,"0.06,0.14",0.03245283104085743,0.5,2,0.6852718997970151,1.3834038157564394,0.7100180967335431,1.0317923480811753,1.1896466943187922
1,"0.06,0.14",0.03245283104085743,0.6,2,0.683182539290326,1.3835242761494135,0.710042624997749,1.0335121183711318,1.189508050298182
1,"0.06,0.14",0.03245283104085743,0.7,2,0.681170808444348,1.383647467690711,0.7100766767173481,1.0352608858942351,1.1893817732790672
1,"0.06,0.14",0.03245283104085743,0.8,2,0.6792327984080828,1.3837772864073339,0.7101199906054728,1.0370380657289568,1.1892749587703966
1,"0.06,0.14",0.03245283104085743,0.8999999999999999,2,0.6773767616449929,1.383909294945597,0.7101710763131018,1.0388400056486264,1.1891870952775812
1,"0.06,0.14",0.03245283104085743,1.0,2,0.6755829273246706,1.3840453343732313,0.7102306480427163,1.040677314997096,1.1891135012290643
1,"0.06,0.14",0.035650770072352796,0.4,2,0.6865630780955692,1.3833336337146018,0.710008013693449,1.0307707828988202,1.1897391339539607
1,"0.06,0.14",0.035650770072352796,0.5,2,0.6842159745583116,1.383465799249791,0.7100312061834854,1.0326449533271758,1.189579860596785
1,"0.06,0.14",0.035650770072352796,0.6,2,0.6819680542864708,1.3836007280624665,0.7100635342289422,1.0345511813182429,1.1894376463767917
1,"0.06,0.14",0.035650770072352796,0.7,2,0.6798108875548508,1.383737681887488,0.7101060104895259,1.0364922185897318,1.1893103905292899
1,"0.06,0.14",0.035650770072352796,0.8,2,0.6777471580211883,1.3838825129731016,0.7101600896476412,1.0384656005055777,1.1892035326582293
1,"0.06,0.14",0.035650770072352796,0.8999999999999999,2,0.6757683522987978,1.3840307758721053,0.7102239299182278,1.0404766977181614,1.1891206366590732
1,"0.06,0.14",0.035650770072352796,1.0,2,0.6738806514115058,1.3841829165720942,0.7102976198012687,1.0425211154483145,1.1890554585211128
1,"0.06,0.14",0.03916383766801829,0.4,2,0.6856115141617116,1.3833873038896702,0.7100172554888522,1.031514025163743,1.1896757927145631
1,"0.06,0.14",0.03916383766801829,0.5,2,0.6830803146671665,1.3835350784627745,0.7100479064509546,1.033588574882431,1.1895104037283843
1,"0.06,0.14",0.03916383766801829,0.6,2,0.6806658378602414,1.3836863539876882,0.7100897596491914,1.035704049791605,1.1893651660203546
1,"0.06,0.14",0.03916383766801829,0.7,2,0.6783592931871457,1.383839594089448,0.7101427175833807,1.0378602235262373,1.1892396569622463
1,"0.06,0.14",0.03916383766801829,0.8,2,0.6761640612225897,1.384000322526998,0.7102100971026691,1.04005767164444,1.1891359402787371
1,"0.06,0.14",0.03916383766801829,0.8999999999999999,2,0.6740717663992741,1.3841669920342201,0.7102894863043583,1.0422996757298018,1.1890614115186975
1,"0.06,0.14",0.03916383766801829,1.0,2,0.6720959760753129,1.384337359449491,0.7103803676763458,1.044578315341003,1.1890086804422002
1,"0.06,0.14",0.04302308695644016,0.4,2,0.6845928083998924,1.38344743442863,0.7100291499545011,1.032334419330279,1.1896093466053297
1,"0.06,0.14",0.04302308695644016,0.5,2,0.681860485916865,1.3836120702974275,0.7100688409170891,1.0346368746128731,1.1894383216739841
1,"0.06,0.14",0.04302308695644016,0.6,2,0.6792731495546306,1.3837810064551492,0.7101222086195064,1.0369842533340403,1.1892928782123224
1,"0.06,0.14",0.04302308695644016,0.7,2,0.6768156163177615,1.3839535442550013,0.7101887115123712,1.0393816475276603,1.189171918102283
1,"0.06,0.14",0.04302308695644016,0.8,2,0.6744922625160601,1.384132410543047,0.7102721560740314,1.041830082690889,1.1890749181274896
1,"0.06,0.14",0.04302308695644016,0.8999999999999999,2,0.6722969628112828,1.3843195307094427,0.710370330672547,1.044329758306296,1.1890131403671602
1,"0.06,0.14",0.04302308695644016,1.0,2,0.6702384302572191,1.384511007547503,0.7104823439267155,1.046876500537174,1.1889777892342157
1,"0.06,0.14",0.04726263107695781,0.4,2,0.6834856159316091,1.3835135124608031,0.7100442212238572,1.0332412599830771,1.1895429008588325
1,"0.06,0.14",0.04726263107695781,0.5,2,0.6805542928288179,1.38369720658817,0.7100950486442531,1.0357963473726042,1.189365791580121
1,"0.06,0.14",0.04726263107695781,0.6,2,0.6777847912521848,1.3838862785056705,0.7101625479057491,1.038407160019272,1.189222618724152
1,"0.06,0.14",0.04726263107695781,0.7,2,0.6751812709579501,1.384080242121079,0.7102462909773257,1.0410754988330013,1.1891093379559696
1,"0.06,0.14",0.04726263107695781,0.8,2,0.6727364916193486,1.3842806142997106,0.7103488999530755,1.0438060401040967,1.1890237231844918
1,"0.06,0.14",0.04726263107695781,0.8999999999999999,2,0.6704517447666243,1.3844905378735675,0.7104697366844366,1.0465948720827594,1.188980282905624
1,"0.06,0.14",0.04726263107695781,1.0,2,0.6683221315070694,1.3847065776962402,0.7106077334232499,1.049447331229613,1.18896858891974
1,"0.06,0.14",0.051919944716617906,0.4,2,0.6823032093404783,1.383587290882615,0.7100633352459605,1.0342513461616707,1.1894736182934156
1,"0.06,0.14",0.051919944716617906,0.5,2,0.679161432197725,1.3837925766284138,0.7101278179203633,1.0370869009759547,1.1892931886537963
1,"0.06,0.14",0.051919944716617906,0.6,2,0.6762101564756348,1.3840046594222561,0.7102127322909043,1.039990088472006,1.1891552433063406
1,"0.06,0.14",0.051919944716617906,0.7,2,0.6734600087376054,1.384222731237619,0.7103172336410017,1.0429634306267497,1.1890544546011406
1,"0.06,0.14",0.051919944716617906,0.8,2,0.6709043811785957,1.3844471888153007,0.7104435449567504,1.0460120038535639,1.188988007563515
1,"0.06,0.14",0.051919944716617906,0.8999999999999999,2,0.6685432746383526,1.384683128218887,0.7105920395760575,1.0491306050157545,1.1889683265785818
1,"0.06,0.14",0.051919944716617906,1.0,2,0.6663669928638953,1.3849272249098499,0.7107616069914621,1.05232722383951,1.1889883319494892
1,"0.06,0.14",0.057036195360924316,0.4,2,0.6810257998777244,1.3836701045461453,0.7100872715835066,1.0353655803486663,1.1894032134464625
1,"0.06,0.14",0.057036195360924316,0.5,2,0.6776669215503848,1.3838986555444994,0.7101685380777863,1.0385180132529548,1.1892230073991017
1,"0.06,0.14",0.057036195360924316,0.6,2,0.6745428126237284,1.3841360146605286,0.710274430948609,1.0417524434642953,1.1890944945132702
1,"0.06,0.14",0.057036195360924316,0.7,2,0.6716587191151434,1.3843818749468042,0.7104046584555376,1.0450701947721488,1.189011696987461
1,"0.06,0.14",0.057036195360924316,0.8,2,0.6690082595424329,1.3846345817120722,0.7105599872222709,1.0484780079159008,1.1889718787020858
1,"0.06,0.14",0.057036195360924316,0.8999999999999999,2,0.6665890134976307,1.3849008885109493,0.7107424914667418,1.0519739234680499,1.1889843621894438
1,"0.06,0.14",0.057036195360924316,1.0,2,0.664400204733006,1.385176620816476,0.7109501066458336,1.05555815809547,1.1890460431844088
1,"0.06,0.14",0.06265660718641526,0.4,2,0.6796586855106174,1.3837628356494054,0.710117413838403,1.03660614671272,1.1893315133746845
1,"0.06,0.14",0.06265660718641526,0.5,2,0.6760894944752561,1.3840168976650442,0.7102191294001454,1.0401082812398312,1.1891579811140534
1,"0.06,0.14",0.06265660718641526,0.6,2,0.6727954651350029,1.3842841165905433,0.7103509233971322,1.043716637081189,1.189043037231625
1,"0.06,0.14",0.06265660718641526,0.7,2,0.6697883226362567,1.3845605038869597,0.7105119749788943,1.0474241026885764,1.188985860134864
1,"0.06,0.14",0.06265660718641526,0.8,2,0.6670656845461783,1.3848457050618543,0.710702966013222,1.0512387057622419,1.1889815288228154
1,"0.06,0.14",0.06265660718641526,0.8999999999999999,2,0.6646212995343334,1.3851470564388841,0.7109268354013161,1.0551612012720692,1.1890373079979628
1,"0.06,0.14",0.06265660718641526,1.0,2,0.6624580511321574,1.3854590471064012,0.7111806693288271,1.0591886336205616,1.1891529132849759
1,"0.06,0.14",0.06883086081163046,0.4,2,0.6782033237974049,1.3838657326840922,0.7101557696233497,1.0379849630092337,1.1892612810390257
1,"0.06,0.14",0.06883086081163046,0.5,2,0.6744191850006237,1.384149698231685,0.7102818049761757,1.0418851848869135,1.1890991569591014
1,"0.06,0.14",0.06883086081163046,0.6,2,0.6709715645872609,1.384449655001341,0.710444732348753,1.0459115825995005,1.1890052683071868
1,"0.06,0.14",0.06883086081163046,0.7,2,0.6678636331118178,1.3847622339964467,0.7106438102368831,1.05005764148115,1.1889828722186087
1,"0.06,0.14",0.06883086081163046,0.8,2,0.6651009773759633,1.3850849234763805,0.7108782442758619,1.0543339055307146,1.1890252517493738
1,"0.06,0.14",0.06883086081163046,0.8999999999999999,2,0.6626767734962592,1.3854252469789112,0.7111519507548394,1.0587390639491265,1.1891379176823134
1,"0.06,0.14",0.06883086081163046,1.0,2,0.660588132203899,1.3857795069857228,0.7114622971367349,1.0632748052309544,1.1893227760981124
1,"0.06,0.14",0.07561353243999522,0.4,2,0.6766560108804691,1.3839799997829534,0.7102033486587489,1.039515086529832,1.189193444079983
1,"0.06,0.14",0.07561353243999522,0.5,2,0.6726620743768424,1.3842991777290827,0.7103590275309836,1.0438608859898426,1.189049662956621
1,"0.06,0.14",0.07561353243999522,0.6,2,0.6690782129245346,1.384636063582827,0.7105601896525453,1.0483636831213619,1.1889864989091212
1,"0.06,0.14",0.07561353243999522,0.7,2,0.6659040147274025,1.384988756100485,0.7108049026204952,1.0530081477953366,1.189010395297821
1,"0.06,0.14",0.07561353243999522,0.8,2,0.6631468453020211,1.3853557514733448,0.7110927369996047,1.0578094806981069,1.1891136002114715
1,"0.06,0.14",0.07561353243999522,0.8999999999999999,2,0.6607962932219789,1.3857408634787614,0.7114270622917718,1.0627674406338328,1.1892996661883832
1,"0.06,0.14",0.07561353243999522,1.0,2,0.6588520800301776,1.3861438582290035,0.7118058836671066,1.0678818320198933,1.1895726876726829
1,"0.06,0.14",0.08306457627634561,0.4,2,0.6750173347036065,1.3841082753153737,0.7102618475100991,1.0412190465346403,1.1891306880690635
1,"0.06,0.14",0.08306457627634561,0.5,2,0.6708325183432053,1.3844668985719262,0.7104542001704625,1.0460694943746205,1.189013951287595
1,"0.06,0.14",0.08306457627634561,0.6,2,0.6671416168717252,1.3848461554368654,0.7107018607885713,1.0511066386569374,1.1889942047262538
1,"0.06,0.14",0.08306457627634561,0.7,2,0.663942817092449,1.3852455653372684,0.7110024311357912,1.0563187369791334,1.189078055758689
1,"0.06,0.14",0.08306457627634561,0.8,2,0.6612464556374841,1.3856618519879762,0.7113546047259953,1.0617185319952462,1.1892592795033765
