wgt_fx,wgt_fx_theta,ml_theta1,alg,0,1,2,3,4
0,0.1,0.0019353639536631659,1,1.2335461688775304,0.7049558854835091,1.1099121275626036,0.8139713089608204,1.3218743367363697
0,0.1,0.0021260769278186897,1,1.2335193947182097,0.7042484211905569,1.1099372194103903,0.8100626655888741,1.3219438882543613
0,0.1,0.0023355829762393425,1,1.2335006344274186,0.7035208479972044,1.109964803489137,0.8098793570438803,1.3220204032830238
0,0.1,0.002565733989924667,1,1.2334924941004375,0.7027814635007394,1.1099951294499397,0.8096786810352008,1.322104590725583
0,0.1,0.0028185643473281397,1,1.2334838170912141,0.7020404681756368,1.1100284723851648,0.8094590700745382,1.3221972340378516
0,0.1,0.0030963088968792712,1,1.2334658642591816,0.7012997069733493,1.110065135509243,0.8092188319733952,1.3222991995459175
0,0.1,0.0034014227115239906,1,1.2334461853662921,0.7010886158716113,1.1101054531395669,0.8089561437095141,1.3224114457843048
0,0.1,0.003736602789899981,1,1.2334246192231797,0.7010530043731267,1.110149794014499,0.8086690459616225,1.3225350339966904
0,0.1,0.004104811895970624,1,1.2334009905968673,0.7010139228361744,1.1101985649906783,0.8083554386415269,1.3226711399638622
0,0.1,0.004509304747843683,1,1.2333751092074283,0.7009710374170478,1.1102522151678174,0.8080130778394463,1.322821067350189
0,0.1,0.004953656787266117,1,1.2333467687044692,0.7009239830492758,1.1103112404961883,0.8076395747051448,1.3229862627912239
0,0.1,0.005441795784097738,1,1.2333157456377173,0.7008723607131848,1.1103761889301136,0.8072323969181754,1.3231683329821111
0,0.1,0.005978036555125808,1,1.233281798440773,0.7008157345080124,1.1104476662002916,0.8067888735605641,1.323369064070249
0,0.1,0.006567119104111273,1,1.2332446664530199,0.7007536285219204,1.1105263422888898,0.8063062044008814,1.3235904437075634
0,0.1,0.007214250520198714,1,1.2332040690120554,0.7006855234978664,1.110612958704365,0.8057814748373227,1.323834686179277
0,0.1,0.00792515100504343,1,1.2331597046581038,0.7006108532967821,1.1107083366682342,0.805211678038518,1.3241042610991733
0,0.1,0.008706104435504253,1,1.2331112505030948,0.7005290011641081,1.110813386344019,0.8045937461752728,1.3244019262482485
0,0.1,0.009564013908841786,1,1.2330583618309046,0.7004392958117237,1.1109291172597304,0.8039245930678239,1.3247307652371376
0,0.1,0.010506462761403946,1,1.233000672012192,0.7003410073349731,1.1110566501002752,0.8032011710977361,1.3250942307959999
0,0.1,0.011541781600162454,1,1.2329377928380332,0.7002333429942871,1.1111972300756687,0.8024205458708642,1.3254961946426467
0,0.1,0.012679121939613448,1,1.2328693154019679,0.7001154429032543,1.1113522421059083,0.801579992891648,1.3259410050553317
0,0.1,0.013928537094942458,1,1.2327948116911,0.6999863756805378,1.1115232281047789,0.8006771214481034,1.326433553486503
0,0.1,0.015301071046494153,1,1.2327138370847832,0.699845134142466,1.1117119066940406,0.7997100320458589,1.3269793518048327
0,0.1,0.016808856061048448,1,1.232625934005583,0.6996906311373191,1.111920195737864,0.7986775151104185,1.327584622053272
0,0.1,0.018465219932808665,1,1.2325306370234235,0.699521695652352,1.1121502381569133,0.7975793003501095,1.3282564009706876
0,0.1,0.02028480379203905,1,1.2324274797822348,0.699337069361714,1.1124044315642603,0.7964163681990681,1.3290026619558533
0,0.1,0.022283691522700128,1,1.232316004201556,0.6991354038292174,1.1126854623640368,0.7951913372139695,1.3295231965497278
0,0.1,0.024479551933045466,1,1.232195772506565,0.6989152586362467,1.1129963450715425,0.7939089442693029,1.3295231965497278
0,0.1,0.0268917949358715,1,1.2320663827626523,0.6986751007742877,1.1133404677542456,0.7925766379915059,1.3295231965497278
0,0.1,0.02954174311894752,1,1.2319274887394382,0.698413305726351,1.1137216446613425,0.7912053102223917,1.3295231965497278
0,0.1,0.03245282022219171,1,1.2317788251096133,0.6981281607653529,1.1141441773108145,0.7898101955641204,1.3295231965497278
0,0.1,0.035650758187603396,1,1.2316202392067184,0.6978178711243233,1.1146129255438653,0.7884119754212345,1.3295231965497278
0,0.1,0.03916382461213212,1,1.2314517308310347,0.6974805698480944,1.1151333903453269,0.7870381306490609,1.3295231965497278
0,0.1,0.04302307261401206,1,1.231273501913805,0.6971143323248185,1.1157118105746484,0.7857245962187058,1.3295231965497278
0,0.1,0.04726261532121046,1,1.2310860182387164,0.6967171967254696,1.1163353242189218,0.7845177825507909,1.3295231965497278
0,0.1,0.05191992740828122,1,1.230890085890091,0.6962871918591198,1.1163353242189218,0.7834770417562266,1.3295231965497278
0,0.1,0.05703617634700437,1,1.2306869456666236,0.6958223742917662,1.1163353242189218,0.7826776734392634,1.3295231965497278
0,0.1,0.06265658629884192,1,1.2304783893883129,0.6953208769895668,1.1163353242189218,0.7822145845533948,1.3295231965497278
0,0.1,0.0688308378657718,1,1.2302669028574036,0.694780972248877,1.1163353242189218,0.7822067417635329,1.3295231965497278
0,0.1,0.07561350723302543,1,1.2301599220815498,0.6944153585792351,1.1163353242189218,0.7828025837143887,1.3295231965497278
0,0.1,0.08306454858545224,1,1.2301599220815498,0.6944153585792351,1.1163353242189218,0.7830353760700749,1.3295231965497278
0,0.1,0.09124982406174376,1,1.2301599220815498,0.6944153585792351,1.1163353242189218,0.7830353760700749,1.3295231965497278
0,0.1,0.10024168593095173,1,1.2301599220815498,0.6944153585792351,1.1163353242189218,0.7830353760700749,1.3295231965497278
0,0.1,0.11011961613734585,1,1.2301599220815498,0.6944153585792351,1.1163353242189218,0.7830353760700749,1.3295231965497278
