hsanum,year,race_total_pop,race_black_pop,hispanic_total_pop,hispanic_pop,median_hh_income,employment_pop,employment_unemployed_pop,education_pop,education_nohs_pop
1001,2014,8870,3798,8870,3585,707713.0,55371,4504,75280,12481
1001,2015,111839,15326,111839,9512,625475.0,54125,3888,73975,12092
1001,2016,114166,15320,114166,8913,691244.0,89256,3405,75983,11698
1001,2017,113846,15725,113846,8875,665537.0,53481,2985,75356,11063
1002,2014,806,571,806,130,33497.0,8786,926,14443,3529
1002,2015,22897,7991,22897,1036,60646.0,9611,1088,15664,3918
1002,2016,22621,8283,22621,914,62152.0,17978,897,15918,4167
1002,2017,22751,7725,22751,821,64984.0,9258,971,15983,3763
1003,2014,2129,828,2129,320,269485.0,11093,1103,17478,3138
1003,2015,25191,3556,25191,400,242500.0,10974,1186,17712,3231
1003,2016,25520,3507,25520,390,247924.0,20639,1175,18041,3002
1003,2017,25672,3500,25672,439,242027.0,11588,1229,17934,2899
1004,2014,7236,3430,7236,2019,538347.0,46212,6074,69954,13880
1004,2015,96675,21157,96675,3468,486981.0,44376,5450,66741,13184
1004,2016,100318,21171,100318,3944,532860.0,79900,5331,69261,13111
1004,2017,100479,21195,100479,4013,563869.0,45552,4680,69899,12723
1006,2014,1217,397,1217,241,103134.0,5044,576,8356,1995
1006,2015,11487,1557,11487,430,101720.0,4944,491,8007,1860
1006,2016,11281,1549,11281,419,105237.0,9287,409,7868,1878
1006,2017,11491,1671,11491,419,109751.0,5077,374,7985,2086
1007,2014,5138,1954,5138,2138,277563.0,30928,2887,47436,9149
1007,2015,69200,8776,69200,4767,277265.0,31079,2674,47985,9219
1007,2016,69598,8575,69598,4764,277933.0,56174,2739,48520,9147
1007,2017,70712,8510,70712,4686,271392.0,31318,2457,48950,8922
1008,2014,856,631,856,170,30265.0,7178,1166,12799,3252
1008,2015,18766,6996,18766,245,110579.0,6883,1070,12658,2871
1008,2016,18755,6924,18755,348,112985.0,15176,835,12515,2661
1008,2017,19050,7219,19050,402,125509.0,6852,837,12711,2478
1010,2014,5927,3491,5927,1322,354665.0,45389,4799,69321,10735
1010,2015,101075,35911,101075,3010,352357.0,44797,4432,69407,10229
1010,2016,100722,37577,100722,2947,340751.0,80185,4024,69377,9781
1010,2017,99419,36866,99419,2892,352660.0,45094,3723,69027,9753
1011,2014,53887,31335,53887,15681,3871014.0,425295,39052,578455,70813
1011,2015,853617,270452,853617,31592,3725352.0,423450,35207,578038,66343
1011,2016,856487,269882,856487,31505,3825708.0,679454,31005,581326,64114
1011,2017,858789,270746,858789,32179,3890887.0,426917,28751,584216,61671
1012,2014,5778,516,5778,3735,260755.0,31040,2808,45059,12285
1012,2015,76989,812,76989,15429,297091.0,32577,2362,48275,13650
1012,2016,76361,841,76361,15738,288839.0,57270,2118,48329,13157
1012,2017,77103,920,77103,16679,298878.0,32254,1677,48406,12318
1013,2014,1739,1144,1739,331,191133.0,8659,1409,15212,2906
1013,2015,22586,6733,22586,286,177463.0,8765,1430,15663,2936
1013,2016,22423,6122,22423,447,194502.0,17854,1474,15582,2907
1013,2017,21345,5334,21345,423,101855.0,8365,1224,15181,2923
1014,2014,871,312,871,187,76344.0,4195,476,5844,1641
1014,2015,7983,774,7983,219,71601.0,3619,416,5350,1303
1014,2016,7809,621,7809,232,66463.0,6139,239,5173,1145
1014,2017,7602,605,7602,298,66691.0,2974,194,5116,817
1016,2014,1004,971,1004,61,110010.0,2260,404,4438,842
1016,2015,7122,5210,7122,5,82175.0,2448,493,4679,967
1016,2016,6659,4770,6659,0,61964.0,5432,414,4534,823
1016,2017,6100,4268,6100,0,72496.0,2230,312,4152,712
1017,2014,1316,1012,1316,133,87338.0,4738,930,8407,2048
1017,2015,12482,7249,12482,292,80353.0,4598,703,8527,2149
1017,2016,12568,6991,12568,451,85630.0,10232,620,8632,1917
1017,2017,12896,6712,12896,708,94428.0,4809,602,9088,2150
1018,2014,2164,535,2164,400,138337.0,9810,879,16016,3378
1018,2015,21998,1238,21998,391,143340.0,9103,755,15792,3335
1018,2016,21524,1152,21524,405,153912.0,17644,512,15544,3012
1018,2017,21362,1149,21362,364,166665.0,8647,467,15742,3128
1019,2014,1105,794,1105,39,60633.0,3821,264,7715,2083
1019,2015,11872,4050,11872,54,108995.0,4602,196,8583,1830
1019,2016,10617,3865,10617,155,73162.0,9381,177,8095,1848
1019,2017,12386,4011,12386,289,143053.0,4882,348,9187,1776
1022,2014,8057,641,8057,1850,567638.0,37998,3328,58757,11111
1022,2015,84561,939,84561,3434,519272.0,36218,2582,57922,10642
1022,2016,85758,895,85758,3413,523581.0,68268,2206,58917,10797
1022,2017,84822,926,84822,3466,539607.0,35370,2006,58576,10773
1023,2014,457,283,457,86,42656.0,3584,413,6221,1120
1023,2015,7921,1386,7921,111,49093.0,3335,295,6276,1056
1023,2016,7879,1374,7879,127,50531.0,6931,213,6258,1003
1023,2017,8162,1883,8162,88,51670.0,3082,170,6172,847
1024,2014,3068,1558,3068,1585,199956.0,37179,3807,52615,9857
1024,2015,76193,14797,76193,7864,194672.0,36105,3551,52790,9162
1024,2016,76088,14692,76088,7999,209632.0,60951,3027,52503,8952
1024,2017,76025,15161,76025,8317,207133.0,34326,2265,52807,9229
1025,2014,1660,1478,1660,252,206155.0,6506,715,10826,1487
1025,2015,16206,8566,16206,330,185621.0,6304,769,10952,1559
1025,2016,15609,8258,15609,184,186806.0,12631,886,10721,1639
1025,2017,15216,8079,15216,85,196553.0,6197,824,10545,1604
1026,2014,12170,6193,12170,3305,1442238.0,85705,7821,130701,23960
1026,2015,189933,46875,189933,7255,1333708.0,84199,7620,130150,23518
1026,2016,190748,46844,190748,6931,1365478.0,152945,7331,131303,22953
1026,2017,192224,47213,192224,7410,1431354.0,83779,6730,132492,22935
1027,2014,276,228,276,105,33312.0,3497,285,5761,1352
1027,2015,8821,1929,8821,194,74233.0,3839,313,6238,1416
1027,2016,8459,1860,8459,164,75115.0,7058,233,6000,1319
1027,2017,8958,2114,8958,127,77278.0,3916,272,6069,1410
1028,2014,1391,664,1391,558,171313.0,19769,1447,28334,4122
1028,2015,42888,7189,42888,3607,166079.0,20590,1508,28618,3553
1028,2016,43179,7337,43179,3779,168945.0,33722,1385,28888,3521
1028,2017,42561,7153,42561,3817,176569.0,20468,1207,28884,3524
1029,2014,674,438,674,445,73432.0,7541,1129,10985,2040
1029,2015,16633,7574,16633,965,33584.0,7256,1339,10934,2212
1029,2016,16159,7801,16159,860,34161.0,12250,904,10416,2209
1029,2017,15607,7372,15607,691,34888.0,6713,854,10446,2266
1031,2014,433,336,433,75,20802.0,3007,967,5284,1200
1031,2015,7862,4234,7862,134,21898.0,3013,833,5364,1118
1031,2016,7902,4492,7902,197,25884.0,6158,755,5280,1016
1031,2017,8143,4692,8143,206,28968.0,2962,553,5511,1053
1032,2014,2074,627,2074,657,110510.0,16201,974,23971,2034
1032,2015,41809,2416,41809,1613,142219.0,18707,1212,29029,2819
1032,2016,42333,2115,42333,1815,145922.0,33545,1122,29601,2330
1032,2017,37049,2777,37049,1502,112784.0,16814,887,25637,1928
1033,2014,1062,301,1062,107,139402.0,4999,529,8986,2052
1033,2015,12483,2029,12483,126,132727.0,5050,503,8867,1854
1033,2016,12479,2006,12479,172,131943.0,10153,454,8799,1627
1033,2017,12412,1988,12412,351,141335.0,5177,445,8707,1500
1035,2014,505,208,505,122,61915.0,1738,158,2956,618
1035,2015,3842,455,3842,145,63440.0,1494,130,2794,558
1035,2016,3710,416,3710,120,63965.0,2935,158,2649,524
1035,2017,3420,371,3420,50,62784.0,1419,130,2603,416
1036,2014,6067,1486,6067,1110,504221.0,46619,3891,66908,10969
1036,2015,98894,9287,98894,2274,522994.0,45834,3448,67170,10855
1036,2016,98364,9157,98364,2310,533252.0,80864,3544,67286,10365
1036,2017,98577,9350,98577,2443,542476.0,45470,3100,67583,9756
1037,2014,5384,1497,5384,2433,291920.0,28066,3246,44124,4844
1037,2015,55323,3825,55323,3269,232844.0,26593,2867,40878,3630
1037,2016,56276,3434,56276,2920,253310.0,47295,2242,42028,3686
1037,2017,63712,3830,63712,3587,299939.0,30731,2303,48068,4347
1038,2014,4554,625,4554,1618,353641.0,21195,2247,31761,7585
1038,2015,46836,858,46836,4716,356647.0,21036,1972,31870,7822
1038,2016,47471,847,47471,4498,356935.0,37013,1576,31737,7679
1038,2017,46710,825,46710,3979,307124.0,20217,1320,31852,7704
1039,2014,5336,2269,5336,2507,422265.0,42712,4431,68471,12750
1039,2015,102205,16446,102205,4785,495636.0,44813,3898,70720,12686
1039,2016,100163,16234,100163,5092,431567.0,81417,3513,70042,12919
1039,2017,100778,16249,100778,5390,522916.0,43804,3157,70658,12437
1040,2014,1509,409,1509,199,103593.0,6093,796,10088,2369
1040,2015,15881,1230,15881,280,133637.0,6610,950,11067,2517
1040,2016,15789,1540,15789,313,137739.0,12569,832,11071,2687
1040,2017,15058,1378,15058,373,131844.0,6050,840,10547,2550
1044,2014,1451,779,1451,177,164553.0,9276,1097,14678,3432
1044,2015,23884,10579,23884,240,195275.0,10201,1049,16350,3730
1044,2016,24059,10759,24059,253,192169.0,18953,979,16431,3302
1044,2017,24291,11130,24291,64,208452.0,10090,760,16649,3268
1045,2014,1418,1036,1418,79,117030.0,2614,483,4736,1063
1045,2015,6043,2506,6043,31,100572.0,2438,421,4364,878
1045,2016,5958,2428,5958,28,95937.0,5086,351,4521,830
1045,2017,6261,2624,6261,14,110574.0,2638,306,4638,766
1046,2014,1644,201,1644,335,84283.0,14725,1472,23523,3904
1046,2015,34964,1080,34964,857,115367.0,15872,1503,25033,3990
1046,2016,34823,1156,34823,748,116772.0,28935,1191,25232,3846
1046,2017,35092,1139,35092,688,122239.0,15504,1131,25468,3673
1047,2014,1921,122,1921,224,147985.0,7855,946,13486,3801
1047,2015,19304,122,19304,622,93868.0,8180,850,13740,3690
1047,2016,18943,98,18943,606,92779.0,15190,703,13439,3425
1047,2017,18761,124,18761,612,95299.0,7671,690,13254,3246
1048,2014,1117,471,1117,206,88641.0,5736,685,9382,2540
1048,2015,13228,825,13228,581,107003.0,5629,635,9262,2182
1048,2016,13226,574,13226,573,117789.0,10569,489,9299,2109
1048,2017,13275,638,13275,466,106936.0,5335,314,9407,2056
1049,2014,1781,373,1781,470,90604.0,16289,2111,22182,3379
1049,2015,33256,1323,33256,916,98647.0,16026,1714,22760,3356
1049,2016,32922,1296,32922,1014,99354.0,26296,1517,22890,3381
1049,2017,33412,1284,33412,599,103239.0,15451,977,22834,3211
1051,2014,25534,12787,25534,7061,2088703.0,202538,18906,261099,27986
1051,2015,393226,86592,393226,17487,1923484.0,202090,16894,265072,26640
1051,2016,398272,88218,398272,17221,2123698.0,318521,14837,269579,26926
1051,2017,401522,89352,401522,17942,2128093.0,205318,13240,273036,27230
1053,2014,1560,591,1560,381,76985.0,15552,1952,21344,4732
1053,2015,33062,3637,33062,656,78822.0,15560,1514,21091,3742
1053,2016,33443,3816,33443,532,80011.0,27367,1403,21559,3344
1053,2017,33536,4004,33536,692,84600.0,15254,1204,21754,3443
1054,2014,5477,1051,5477,904,409531.0,23785,3008,39054,8640
1054,2015,60400,3201,60400,1452,410067.0,25012,2767,42096,9312
1054,2016,60221,3075,60221,1518,425151.0,48718,2652,42186,9178
1054,2017,59397,3102,59397,1592,451130.0,25090,2430,41861,8364
1056,2014,787,542,787,134,105948.0,4138,381,6296,1514
1056,2015,8805,2068,8805,125,99665.0,3876,328,6104,1321
1056,2016,8618,2132,8618,81,97342.0,6929,209,5996,1294
1056,2017,8696,2087,8696,48,104715.0,3798,162,6109,1199
1057,2014,36430,23490,36430,8375,2629792.0,249186,27179,351747,52298
1057,2015,535448,167671,535448,14799,2378652.0,247841,23927,354931,51638
1057,2016,538781,169722,538781,15071,2352226.0,423998,20989,358223,50516
1057,2017,540173,169510,540173,15265,2326863.0,243835,17561,360150,48673
1058,2014,3030,2172,3030,277,277758.0,9488,1874,15928,3268
1058,2015,22986,9428,22986,253,230937.0,8723,1778,15513,2875
1058,2016,22743,9582,22743,148,237225.0,18052,1853,15461,2717
1058,2017,22689,9255,22689,295,253820.0,8211,1657,15420,2617
1059,2014,22857,16487,22857,4777,1817253.0,155092,14326,212711,32618
1059,2015,323920,152893,323920,10007,1785816.0,153665,13524,212371,31611
1059,2016,323288,154134,323288,9800,1858833.0,257838,12758,215863,31466
1059,2017,323610,155148,323610,10167,1910452.0,153513,11497,215724,31075
1060,2014,3092,642,3092,617,220423.0,15553,1800,23863,5207
1060,2015,34107,2194,34107,738,218637.0,14896,1499,23689,4840
1060,2016,33797,2015,33797,839,230053.0,26991,1281,23722,5276
1060,2017,33601,2038,33601,990,234939.0,13642,1050,23384,4923
1061,2014,2567,1384,2567,1124,194058.0,23038,2310,37013,5972
1061,2015,52792,8461,52792,1321,195995.0,22858,2069,36965,5893
1061,2016,52618,8516,52618,1306,206560.0,42867,1755,37138,6070
1061,2017,52715,8703,52715,1292,214752.0,23259,1614,37336,5936
1063,2014,1808,279,1808,804,127569.0,9512,871,15370,3844
1063,2015,22473,741,22473,3235,123821.0,9317,675,15501,3883
1063,2016,23925,670,23925,3231,198521.0,19379,646,16544,3908
1063,2017,23076,686,23076,3276,136460.0,9233,469,15519,3756
1064,2014,9619,6620,9619,1982,545731.0,72045,6946,86494,13052
1064,2015,148778,49363,148778,4835,521920.0,71705,5892,87338,12425
1064,2016,149267,49614,149267,5144,539007.0,123347,4931,88327,12403
1064,2017,151336,49259,151336,5439,635172.0,72575,4470,89951,11248
1065,2014,804,236,804,71,77520.0,5163,594,8836,2196
1065,2015,12424,1132,12424,81,75511.0,5131,620,8667,2081
1065,2016,12179,1310,12179,123,77536.0,9918,529,8505,2030
1065,2017,11892,1322,11892,173,73558.0,4918,547,8435,1923
1066,2014,1071,562,1071,233,85123.0,10358,870,16194,2947
1066,2015,23475,5499,23475,651,131601.0,10185,950,16633,3038
1066,2016,23033,5372,23033,553,138355.0,18663,762,16382,2758
1066,2017,22510,5385,22510,607,133085.0,9823,904,16045,2641
1068,2014,5188,3798,5188,1458,243147.0,38664,4129,50752,7499
1068,2015,82778,27122,82778,3735,253055.0,40413,3876,53167,7326
1068,2016,84680,27569,84680,3563,261712.0,65005,3331,54632,7770
1068,2017,85087,27970,85087,3664,255720.0,40740,3452,55005,7712
1070,2014,1762,1103,1762,605,109389.0,23241,1700,30655,3711
1070,2015,47335,8962,47335,1557,105751.0,22998,1608,30884,3633
1070,2016,47877,9066,47877,1510,109924.0,36702,1254,31306,3704
1070,2017,47501,9577,47501,1543,114632.0,22705,1203,31635,3782
1071,2014,706,87,706,107,72628.0,2677,184,4366,1014
1071,2015,6228,70,6228,99,68149.0,2746,195,4358,1023
1071,2016,5801,61,5801,76,69271.0,4764,217,4146,1018
1071,2017,5803,0,5803,110,75925.0,2623,203,3970,951
1072,2014,1077,544,1077,261,65069.0,5901,797,9178,2346
1072,2015,14284,3986,14284,334,63833.0,6127,658,9638,2406
1072,2016,14166,3566,14166,335,69604.0,11369,434,9663,2239
1072,2017,13744,3694,13744,376,72104.0,5862,309,9433,2027
1073,2014,2664,410,2664,1124,183161.0,12405,1190,18729,5024
1073,2015,28322,1501,28322,4869,182425.0,11893,1197,18511,4828
1073,2016,28628,1382,28628,5001,176488.0,22025,1145,18614,4564
1073,2017,28399,1547,28399,5071,182197.0,11937,917,18460,4410
1074,2014,3549,450,3549,791,256319.0,14826,1571,24778,5997
1074,2015,34778,803,34778,1152,242002.0,15148,1626,24925,5876
1074,2016,34352,1067,34352,1150,261819.0,28225,1389,24713,5068
1074,2017,34824,1080,34824,1146,268631.0,14678,1170,25005,4790
1075,2014,7359,6121,7359,469,439444.0,24048,4243,40402,9657
1075,2015,60705,39999,60705,348,434859.0,23345,3551,39367,8943
1075,2016,59179,39785,59179,521,479193.0,46229,3266,38107,8213
1075,2017,57828,39541,57828,519,542815.0,22387,3006,37410,7288
1077,2014,2919,1522,2919,326,198221.0,15017,2271,23641,5043
1077,2015,33742,9108,33742,681,196782.0,14212,1974,23075,5113
1077,2016,32767,9101,32767,672,217160.0,25869,1565,22291,4674
1077,2017,33334,9332,33334,614,238609.0,13495,1321,22697,4695
1078,2014,1847,1464,1847,350,105795.0,15309,2466,25143,5499
1078,2015,40673,14082,40673,1307,151756.0,17205,2550,28622,6571
1078,2016,36579,13707,36579,838,122054.0,29976,2038,25837,5947
1078,2017,36821,14053,36821,829,128863.0,14895,1771,26221,5570
1079,2014,1118,666,1118,116,46508.0,6610,611,9010,1278
1079,2015,12916,2722,12916,256,50630.0,6219,385,8498,1197
1079,2016,13459,2862,13459,275,51701.0,10225,640,8536,1253
1079,2017,12713,2686,12713,230,51393.0,5665,656,8442,1419
1080,2014,2054,1670,2054,274,162444.0,5971,1108,10562,2041
1080,2015,15480,8099,15480,155,164385.0,5889,956,10629,2213
1080,2016,15170,8034,15170,100,169850.0,12010,823,10235,2248
1080,2017,15387,8098,15387,95,175136.0,5335,652,10449,2306
1081,2014,3452,2456,3452,409,243785.0,18612,1897,22740,4764
1081,2015,35343,13183,35343,297,176600.0,16964,1795,20923,4366
1081,2016,33695,12537,33695,708,142539.0,27709,1564,19887,4088
1081,2017,35282,13388,35282,282,198205.0,16633,1476,21124,4110
1082,2014,16038,9029,16038,4252,1220635.0,104450,9530,137358,20314
1082,2015,221723,76704,221723,6648,1138009.0,102218,8489,135753,19494
1082,2016,224222,78820,224222,6892,1163590.0,181700,7898,138325,18111
1082,2017,226324,80166,226324,7495,1256580.0,104608,7708,140181,18399
1083,2014,830,807,830,457,60557.0,4360,830,6705,2384
1083,2015,9983,7740,9983,473,55362.0,4330,878,6914,2586
1083,2016,11489,8506,11489,42,120243.0,9207,663,7939,2529
1083,2017,9329,7397,9329,35,51410.0,4067,501,6380,1939
1084,2014,2002,1438,2002,210,103290.0,15637,2150,23681,4584
1084,2015,34028,12119,34028,166,105315.0,15426,1396,23044,3871
1084,2016,34158,12344,34158,140,108165.0,26985,1234,23046,3779
1084,2017,33918,12565,33918,494,115352.0,15497,1023,23240,3840
1085,2014,969,283,969,195,70574.0,3950,343,6395,1447
1085,2015,8863,1016,8863,170,66578.0,3646,362,6291,1499
1085,2016,9127,1075,9127,144,69568.0,7400,347,6397,1476
1085,2017,8889,1040,8889,92,72773.0,3604,336,6196,1324
1086,2014,928,220,928,228,73031.0,3215,295,5502,1444
1086,2015,7576,743,7576,334,73942.0,3137,304,5386,1231
1086,2016,8167,941,8167,326,76057.0,6504,221,5677,1340
1086,2017,8294,914,8294,289,80186.0,3021,160,5846,1328
1088,2014,1466,273,1466,273,150029.0,6125,725,10543,2203
1088,2015,15485,554,15485,136,176290.0,6412,618,11191,2191
1088,2016,15379,668,15379,144,181368.0,12847,513,11112,1998
1088,2017,15343,526,15343,271,197945.0,6717,405,10945,1839
2001,2014,17962,5995,17962,7166,3696366.0,182170,12259,200362,15866
2001,2015,319114,18093,319114,26820,3643173.0,183536,11934,202474,15136
2001,2016,318778,17491,318778,27336,3753488.0,247737,10845,204569,14511
2001,2017,317622,16797,317622,27671,3707372.0,182141,10330,205373,14308
2002,2014,313,9,313,44,89844.0,1445,70,1988,214
2002,2015,2696,0,2696,15,84716.0,1639,67,1962,161
2002,2016,3099,0,3099,17,104821.0,2629,87,2212,173
2002,2017,3218,0,3218,94,92396.0,2122,44,2227,76
2003,2014,8559,2249,8559,2793,1957180.0,64425,4928,70461,5176
2003,2015,113881,4440,113881,7827,1874452.0,63829,4784,69774,4407
2003,2016,114315,4309,114315,7938,1831643.0,88844,5109,70423,4499
2003,2017,114177,4378,114177,8178,1811928.0,64699,4988,71071,4250
2004,2014,658,56,658,169,152534.0,6523,587,9004,713
2004,2015,13102,54,13102,430,155526.0,6469,529,8964,642
2004,2016,13429,75,13429,507,164896.0,10807,534,9293,650
2004,2017,13383,49,13383,567,172797.0,6683,479,9352,629
2005,2014,974,171,974,229,650517.0,22025,1311,26273,1430
2005,2015,38387,445,38387,2119,649790.0,22571,1245,26717,1410
2005,2016,38312,433,38312,2197,655041.0,30998,1151,26635,1223
2005,2017,38268,371,38268,2283,711272.0,22570,1133,26757,1174
2006,2014,706,101,706,110,353570.0,10432,979,13126,989
2006,2015,19416,68,19416,860,366460.0,10407,944,13186,1105
2006,2016,19403,78,19403,848,393889.0,15394,928,13310,1111
2006,2017,19523,81,19523,890,395295.0,10448,899,13501,1162
2007,2014,400,100,400,87,237394.0,8114,385,8480,762
2007,2015,13973,66,13973,1186,229033.0,8145,470,8536,821
2007,2016,13918,20,13918,1211,236544.0,10561,272,8998,840
2007,2017,13773,27,13773,1219,211214.0,7939,396,8968,1030
2008,2014,520,64,520,145,290951.0,3499,590,4067,622
2008,2015,7368,72,7368,180,277885.0,3420,528,4052,627
2008,2016,7408,75,7408,200,300478.0,5203,559,4102,614
2008,2017,7407,75,7407,231,323667.0,3439,530,4147,607
2009,2014,3339,375,3339,717,480376.0,44952,4511,59051,4429
2009,2015,95918,959,95918,4292,462396.0,45637,4372,60527,4680
2009,2016,98650,1042,98650,4463,502358.0,74535,4596,62727,4760
2009,2017,101100,1138,101100,4666,547821.0,47918,4646,64519,5101
2010,2014,118,68,118,115,156492.0,2220,185,2685,159
2010,2015,3880,99,3880,312,191165.0,2150,234,2606,190
2010,2016,3882,78,3882,338,172690.0,3051,171,2558,211
2010,2017,3970,23,3970,349,181615.0,2078,137,2647,281
2011,2014,535,37,535,42,62500.0,2766,225,3823,320
2011,2015,4892,76,4892,31,63309.0,2741,208,3630,220
2011,2016,4467,66,4467,29,70725.0,3875,160,3380,242
2011,2017,4735,51,4735,146,73348.0,2523,114,3488,228
2012,2014,103,27,103,10,101302.0,5252,275,6469,545
2012,2015,9351,122,9351,554,105376.0,5275,225,6458,482
2012,2016,9380,239,9380,635,100716.0,7555,253,6605,501
2012,2017,9350,135,9350,636,106765.0,5355,284,6555,443
2013,2014,2891,209,2891,740,462218.0,18683,1735,25137,1550
2013,2015,38399,233,38399,1625,475087.0,18745,1778,25814,1691
2013,2016,38878,204,38878,1595,490492.0,30444,1606,26206,1979
2013,2017,39102,211,39102,1489,439582.0,18432,1719,26625,2118
2014,2014,130,26,130,105,178045.0,2347,206,2805,130
2014,2015,4367,0,4367,364,193330.0,2380,308,2831,125
2014,2016,4386,12,4386,390,127321.0,3312,222,2874,102
2014,2017,4494,13,4494,309,143523.0,2576,232,3186,85
2015,2014,62,14,62,36,48153.0,1118,67,1881,204
2015,2015,2387,5,2387,34,47941.0,1176,88,1818,179
2015,2016,2401,7,2401,72,52452.0,1972,85,1767,210
2015,2017,2475,4,2475,78,55742.0,1178,83,1857,205
2016,2014,1122,93,1122,155,403295.0,4629,518,4802,679
2016,2015,7875,59,7875,307,384611.0,4811,441,4924,614
2016,2016,7821,53,7821,313,385456.0,5940,464,4914,615
2016,2017,7602,60,7602,306,417444.0,4435,419,4819,604
2017,2014,2214,294,2214,332,1367476.0,10186,2066,12504,2553
2017,2015,23644,142,23644,355,1234351.0,9610,1987,12087,2626
2017,2016,24961,179,24961,450,1285633.0,16537,2128,12760,2530
2017,2017,25193,182,25193,509,1265248.0,10114,2210,12988,2648
2018,2014,634,95,634,77,475927.0,2274,370,2972,507
2018,2015,5161,17,5161,149,473543.0,2211,269,2939,402
2018,2016,5119,12,5119,151,410010.0,3676,251,2908,392
2018,2017,5081,22,5081,155,347334.0,2299,267,2947,411
2019,2014,918,86,918,100,532492.0,3371,775,3987,831
2019,2015,6451,26,6451,148,416797.0,2895,585,3474,701
2019,2016,7554,44,7554,173,502263.0,5142,711,4013,854
2019,2017,7577,59,7577,230,511402.0,3294,631,4070,804
3002,2014,860,87,860,753,97128.0,3713,319,6565,882
3002,2015,9147,88,9147,3939,93728.0,3519,247,6543,905
3002,2016,8751,75,8751,3582,92766.0,7118,199,6402,949
3002,2017,8738,78,8738,3150,93192.0,3290,148,6541,964
3003,2014,4016,657,4016,2827,230406.0,28955,4379,52683,9236
3003,2015,69618,973,69618,13474,227615.0,28293,3784,52791,8650
3003,2016,70116,1177,70116,14296,232198.0,59643,3202,53784,9155
3003,2017,71313,1399,71313,15680,233131.0,27437,2733,55070,9393
3004,2014,8984,2970,8984,8255,532951.0,69882,8275,107992,19821
3004,2015,163744,10536,163744,61432,460138.0,67437,7051,106939,18641
3004,2016,169146,10577,169146,65632,451158.0,129412,6643,109692,20019
3004,2017,173046,10319,173046,68171,487104.0,71318,5814,112372,19734
3005,2014,6205,2864,6205,4779,375169.0,117930,8168,148331,13387
3005,2015,235627,9606,235627,53087,402707.0,121875,7211,155708,14125
3005,2016,232401,9762,232401,49278,412873.0,179972,6596,154888,14132
3005,2017,233568,10576,233568,48506,418800.0,120138,5962,156749,13677
3006,2014,5766,537,5766,3825,530243.0,35173,3754,59074,6311
3006,2015,77959,505,77959,11848,563496.0,34773,3703,60911,6619
3006,2016,78911,480,78911,12002,524229.0,67755,3132,61198,6265
3006,2017,79376,493,79376,11586,505541.0,33942,3033,62270,5997
3007,2014,2775,418,2775,1891,40754.0,6444,944,15517,5000
3007,2015,21830,1311,21830,15432,41937.0,5381,733,15148,4844
3007,2016,21825,1243,21825,15848,47945.0,17803,761,14759,4805
3007,2017,21790,1078,21790,16327,53504.0,5623,771,14566,4462
3008,2014,5918,913,5918,2684,326422.0,55301,4404,57106,5611
3008,2015,99253,2078,99253,18208,319924.0,55069,3968,56991,5171
3008,2016,100975,2080,100975,18036,370948.0,83514,3627,57542,4571
3008,2017,101538,1914,101538,18412,409256.0,55705,3850,58061,4145
3009,2014,1255,331,1255,1325,48625.0,6781,676,26459,6181
3009,2015,36336,2026,36336,13963,79426.0,7847,800,27424,6525
3009,2016,36248,2017,36248,13424,89135.0,31344,999,27395,6466
3009,2017,36104,2275,36104,13066,84475.0,7808,783,27852,6764
3010,2014,3524,374,3524,595,211429.0,9307,1653,17576,4659
3010,2015,28824,263,28824,791,207746.0,8836,1457,17611,4391
3010,2016,29381,204,29381,721,202622.0,22219,1185,18041,4284
3010,2017,29450,219,29450,866,210334.0,8603,1016,18303,4162
3014,2014,5555,592,5555,2735,381002.0,26071,3997,53228,8727
3014,2015,72386,1331,72386,9789,295670.0,25239,3732,54033,8904
3014,2016,72097,1187,72097,9096,290139.0,61158,3363,54213,9159
3014,2017,71670,926,71670,8643,320427.0,25526,3018,53511,8265
3015,2014,3103,323,3103,1880,150557.0,22858,2588,42779,4915
3015,2015,57100,297,57100,8584,152111.0,22635,2522,44009,5392
3015,2016,57282,174,57282,8703,169988.0,48961,2155,44226,4976
3015,2017,57513,220,57513,8307,190418.0,23555,1892,45317,4557
3016,2014,44279,14405,44279,31372,1915213.0,583480,49693,741202,72911
3016,2015,1184338,44146,1184338,258542,1937878.0,591249,43426,757499,72959
3016,2016,1201468,45734,1201468,264210,1992044.0,938981,39411,776743,72762
3016,2017,1230494,49058,1230494,275484,2056153.0,620437,34794,796878,73836
3019,2014,390,17,390,313,78233.0,5400,783,6167,1155
3019,2015,10901,2,10901,752,87720.0,5777,764,6551,1100
3019,2016,11268,32,11268,853,92131.0,8252,816,6727,1103
3019,2017,11151,46,11151,730,86123.0,5557,688,6267,964
3020,2014,1937,103,1937,1410,199868.0,6844,784,15482,3405
3020,2015,20174,40,20174,4967,217231.0,6928,737,15667,3630
3020,2016,20218,77,20218,5011,224940.0,17188,671,15504,3664
3020,2017,20417,195,20417,5023,232749.0,6897,606,15594,3380
3021,2014,1562,66,1562,538,175799.0,9493,945,20312,2231
3021,2015,25099,75,25099,1927,170721.0,9134,841,20423,2166
3021,2016,25471,100,25471,1923,181520.0,22202,808,20605,1997
3021,2017,26027,151,26027,1620,162952.0,9519,692,21163,1763
3022,2014,96421,36427,96421,76961,4157171.0,1063862,103323,1355372,239668
