hsa,h0,h1,h2
24009,0.0-0.011173533275723457;0.0-0.01794871874153614;0.0-0.033443890511989594;0.0-0.05263157933950424;0.0-1.01;0.0-1.01;0.0-1.01,,
24025,0.0-0.034310851246118546;0.0-0.04305555671453476;0.0-0.044532410800457;0.0-0.0449494943022728;0.0-0.04545454680919647;0.0-0.0467391312122345;0.0-0.0535714291036129;0.0-0.05480480566620827;0.0-0.05773857235908508;0.0-0.05882352963089943;0.0-0.06166983023285866;0.0-0.06512605398893356;0.0-0.06666667014360428;0.0-0.0694117620587349;0.0-0.07407407462596893;0.0-0.07692307978868484;0.0-0.07692307978868484;0.0-0.07692307978868484;0.0-0.07692307978868484;0.0-0.0833333358168602;0.0-0.09090909361839294;0.0-0.09090909361839294;0.0-0.09090909361839294;0.0-0.10795454680919647;0.0-0.1180555522441864;0.0-0.125;0.0-0.14215686917304993;0.0-1.01;0.0-1.01;0.0-1.01;0.0-1.01;0.0-1.01;0.0-1.01;0.0-1.01;0.0-1.01;0.0-1.01;0.0-1.01;0.0-1.01;0.0-1.01,0.11428571492433548-0.1180555522441864;0.0833333358168602-0.08608058840036392;0.08263305574655533-0.0833333358168602;0.07692307978868484-0.0839160829782486;0.07294429838657379-0.07846153527498245;0.06674082577228546-0.07151979207992554;0.0595238097012043-0.0670270249247551,
24027,0.0-0.01546268630772829;0.0-0.017139090225100517;0.0-0.022296132519841194;0.0-0.04421768710017204;0.0-0.06666667014360428;0.0-0.12040133774280548;0.0-1.01;0.0-1.01;0.0-1.01,,
